fname                                              count
GERARD                                             5
GOTTFRIED                                          11
ROCHEALL                                           1
RONALDA                                            24
MIDORI                                             3
STEPHANIE 10191                                    1
RENFORTH                                           1
LEAPA                                              1
GEYLENE                                            1
MURRAY E RYAN                                      1
Gadir                                              1
VELICHKO                                           1
JUBAL                                              3
LELE                                               1
FERLYN                                             1
RAENATH                                            1
R V OGILVIE                                        1
YASEMIN                                            2
JOSEPH E                                           6
SAL                                                68
SALMAN                                             12
FRENZADA                                           1
KATRIN                                             9
BRUCE GLAZER                                       1
VIJAEY                                             1
CHINLIANG                                          1
GERALD / ROSE                                      1
CHINWE                                             1
AMNI                                               1
PATRICK                                            7
ATLANTA                                            2
MARC-ANTOIN                                        2
JEAN-PIERRE                                        2
RAEANN                                             18
INSOOK                                             3
TIMOTHY V                                          1
ARNOLD J                                           2
ROSA LUPO                                          1
MRS GAYE                                           1
RONALD B SORENSEN                                  1
K RAMAN                                            1
ELENITSA                                           1
TERESA O                                           1
MS JAYLENE                                         1
WENDY L MILLER                                     1
JUIENNE                                            1
UJKAN                                              1
ASHUK                                              1
KAVINA                                             1
CHING                                              22
SARBJIT                                            23
T B                                                2
JESSIE J                                           1
KEONG                                              1
CAROL/ DOUG                                        1
MESO                                               1
PETULA                                             2
BENDIG                                             1
FADUL                                              1
J E ARMSTRONG                                      2
GRAHAM BARHAM                                      1
DANEA                                              2
AUSTIN C/O GAZIBO                                  1
BIRGITT                                            2
ANDREW DRAVES                                      1
GERALD/CINDY                                       1
MARY ELIZABETH                                     7
LETTIE                                             7
MR FRANK                                           2
JEANIE MAIE                                        1
ANN D                                              1
GHANANAD                                           1
SW FREETOWN                                        1
MR. KURT                                           1
AZHAR                                              4
CHRISTOPHER D J HACIO                              1
RHENELDA                                           1
SAEB                                               1
LOUISE BLANCHARD                                   1
MS. JOAN                                           2
GIE                                                2
BRIAN W.                                           1
ERYL                                               1
STAN  & HEATHER                                    1
KASSANDRA                                          29
DEANNA M                                           1
JINZE                                              1
MRS. PAMELA                                        1
MATTHEW KOEHLER                                    1
SARUHAN                                            1
SHALEIN                                            1
NARESH MOHAN                                       1
VIVIANNE                                           18
KUMARAN                                            2
ORDELFO                                            1
SALIL                                              4
BOONE                                              1
MRS LOUIS                                          1
ARLOU                                              1
KORTNI                                             2
OLEKASNDER                                         1
DR.JILLIAN                                         1
ELVY                                               2
JENAIE                                             1
DON ARMSTRONG                                      1
THANH LUYEN                                        1
CURWIN                                             1
BUTCH                                              78
WATON                                              1
IAN & MERVICK                                      1
DR BLAIR                                           1
BIK-WAH                                            1
DR I W                                             1
MR ADAM                                            1
NEHAL                                              3
GREIVIN G                                          1
SANDRA MISCOUCHE                                   1
KUDDLE                                             1
D P                                                4
AMELA                                              3
SISTER JUNE                                        1
DAVID K THOMPSON                                   3
KEN / EITHNE                                       1
TRIXIENA                                           1
NFALY                                              1
KERRY PETER POND                                   1
BARAMAI                                            1
HERMAIL                                            2
NEET                                               1
LADDICK                                            1
ZHENRUI                                            1
DAVID BRITTON                                      2
DR. ROY G                                          1
JOE MORRISON                                       1
NESHE                                              1
HIGINO                                             1
IZOLA                                              1
PO                                                 8
JOSLYNN                                            3
EDDA                                               10
DR DOUG                                            1
AYLA                                               12
LURENTRA                                           1
FRAANK                                             1
TIMOTHY H                                          1
EOGHAN                                             2
NAVNISH K DHANOA                                   1
KASTURI                                            2
DERYLL                                             1
JULIANNE                                           42
BETTY A                                            3
PASTELLE                                           1
ISAAC AND JOCELYN                                  1
VONNIE                                             14
ALAN LOGUE                                         1
KENNETH MRS                                        1
VERLYNE                                            2
ANNE ISHII MARI                                    1
SANEUN                                             1
DAVID C DANIELS                                    1
KIMA                                               1
GEFFRY                                             1
SHELLY & EV                                        1
ROSEMARE                                           1
FAUN                                               3
MILDRED ( ALZIEMERS , CANT HELP NO BODY )          1
BRUCE & JUDY                                       1
DRYON                                              1
SCOTT/ ANNE                                        1
MANON CLAVETTE                                     1
ROBERT C SNYDER                                    1
IAN D R                                            1
JERRY S GRAFSTEIN                                  1
YAJING                                             1
YUCK                                               1
ALLAN MATHIEU                                      1
AYOMIDE                                            2
DHRUVKUMAR                                         1
CORRY & ROBIN                                      1
L E                                                2
J Y                                                3
MRS  DOYLE                                         1
ARDINE                                             3
EUARD                                              2
LLOYD PUHALSKI                                     1
MUNE                                               1
DOMINIC CLARKE                                     1
AKON                                               3
MARGARET R.                                        1
GLEN  & DAMARIS                                    1
NITA TILAK                                         1
CHRISTINA H MEDLAND                                1
MARIA FALCAO                                       1
MIKE & NANCY                                       1
ASHLEAH-ANN                                        1
KAYODE                                             9
ROENA                                              5
EMERIAH                                            1
NEVEIL                                             1
ANGELIQ                                            1
FRANK & LAURIE                                     1
SOPHIE                                             363
MARILYN & ALBERT                                   1
G W                                                9
LUCENE                                             2
ELEENA                                             2
ZARA                                               11
NOMITA                                             2
KEN J                                              3
LORRIE A                                           1
J TURNBULL                                         1
ERONNE                                             1
JEANBERNARD                                        1
DR CHERYL                                          1
Marybozo                                           1
F A                                                4
SURRIYA                                            1
RANIELIA                                           2
WARNE                                              2
LEILAND                                            1
SHARON/RICHARD                                     1
SANTHANAM                                          1
BRASSA                                             1
VENDA                                              1
DR VICTOR                                          2
HELVI                                              1
GRAHAM BERMAN                                      1
CHRISTOS KYRTSAKAS                                 1
LYNN SILVER                                        1
TSANG                                              2
H A MAKKEN                                         1
CHARLENE R                                         1
ADOLOR                                             1
JARDINE                                            5
LEALOS                                             1
TACITA                                             1
RAE-MARIE                                          1
REZIN                                              1
GERRY GALLANT                                      1
STANLEY A                                          2
WYONETTA                                           2
JULIE ZARBONI                                      1
COLPITTS                                           2
EAST CARE                                          1
DONALD B MILLAR                                    1
ABELE                                              1
JULIETA                                            6
IDAR                                               1
MARY ROSE                                          13
MEKONNEN                                           3
MR BRANDON                                         1
TUY                                                2
JOHN  J                                            1
VIVIEN KWOK                                        1
SHOHREH                                            2
LANCE CORNWALL                                     1
ADLINE                                             2
MICHEAL / KELLY                                    1
DR  MICHAEL V                                      1
MUHAMUD                                            2
C LEE                                              1
ANTON KACICNIK                                     1
CHIEF ROBERT                                       1
EXELLA                                             1
CLAUDE-YVES                                        1
NOLTE                                              1
MS ROSEMONDE                                       1
ARIANE                                             10
AFZAL                                              9
HOA TU                                             1
KAMTA                                              2
ALYSSA TOMKINS                                     1
HANOCK                                             1
IRA SANKIEWICZ                                     1
MRS CARMA                                          1
ABDALLA                                            15
MRS. NICKI                                         1
DR. RIKASH                                         1
GERVAIS                                            1
ZAC                                                18
MME. ROCH                                          1
TABLADA                                            1
TOHEEB                                             1
CLEOFE                                             1
GARY & DONNA                                       1
PAT & COLIN                                        1
DR  SOPHIE                                         1
MIKES HARBOUR BEACH MARKET                         1
MS DARRYLE                                         1
C G SCILLEY                                        1
MYLES B                                            1
MISS NATASHA                                       1
MAGGI                                              6
BERNINA                                            1
YOSRI                                              1
BENJOE                                             1
STEFFIE                                            2
ARMAND CONANT                                      1
ZITTLAW                                            1
R F MIRANDA                                        1
DOUG MACLEOD                                       1
T                                                  16858
PATRICIA R                                         1
CHEYENE                                            1
NORM (DELS PLASTERING AND STUCCO)                  1
ARVON                                              2
T J NOLAN                                          1
LOUIS-EMILE                                        1
GLINDTVAD                                          1
LADMER & DELORES                                   1
LOUIS-GEORGES                                      1
KIRSTEN                                            187
KERRY HARRIS                                       1
DR MARY                                            2
MR DENNIS                                          1
DELORIES                                           1
AMANDEEP BAJWA                                     1
ALYSE                                              4
TROY-ANNE                                          1
MOSELLE                                            1
RAY STRATFORD                                      1
FIDAN                                              1
F EDWARD                                           2
VIVIENNE                                           29
MARTHA M                                           1
JIL                                                5
LEAH-ANN                                           2
LEO TURKEL                                         1
CANADACE                                           1
LOUIE MASSE                                        1
OES                                                1
BERNARD VARCOE                                     1
YEMESERACH                                         1
MARIE-LUCE                                         3
MARK/TRACY                                         1
ALLISON                                            2
AANDREA                                            2
BECA                                               1
GLORIA J MCNEILL                                   1
SHIRLEE J                                          1
ARVE                                               1
GURPTREET                                          1
HILARY LINTON                                      1
DALLY                                              2
ERKIA                                              1
H COLEMAN                                          1
CLARENCE EVERGREEN BRIGHTSAND                      1
DAVID & JANET                                      1
SARAH M LITTLE SANDS                               1
TRACI                                              74
STANLEY W                                          1
SAUPO                                              2
BRIAN D DINGLE                                     1
GURWANT                                            1
DANIEL L MCGILLIVRAY                               1
MACNUTT JEFF & HEATHER                             1
HENI                                               1
V BANH                                             1
NEGUSE                                             1
ALLAN A                                            1
VIKTO                                              1
MOBEENA                                            1
JOEY                                               506
M. ALBERT                                          2
HARVEY Y                                           1
HEATHER PESSIONE                                   1
ENES                                               3
DR. LEO S                                          1
THOMAS A COMERFORD                                 1
TEUTA ALIU                                         1
A BLAIR                                            1
MME DORILLA                                        2
JOO YOUNG                                          1
HYLKO                                              1
JAIRYN                                             1
BEATY                                              1
DR JANICE                                          1
CINDY /KELLY                                       1
TOAN MINH                                          1
MARK EASDEN                                        1
MERA                                               1
ELMITH                                             1
TAJINDER K                                         1
MONIC                                              7
MRS. DARLENE                                       2
E PAMELA                                           1
STEPHEN/ WENDY                                     1
VANIS                                              2
CONRALD                                            1
Wilfed                                             2
REMONDE                                            1
PAUL & TARA                                        1
VLADEN                                             1
VIVIAN D                                           1
PAUL BATES                                         1
GINA GINCAUSKAS                                    1
C KNAPP                                            1
HIMESH                                             2
MRS SAMMY                                          1
K & C                                              8
CLETES                                             1
ROLEEN                                             3
VIVEON                                             1
FRESIA                                             3
DEVERNEKA                                          2
COBBEST                                            1
KIJONG                                             1
MURITALA                                           1
J BHATT                                            1
MINUL                                              1
WALTER/WANDA                                       1
ZHI JASON                                          1
HLONIPHO                                           1
SOFIJA                                             2
BRODERICK                                          6
FRANK & WANDA                                      1
LISE & ROBERT J                                    1
LINNIE                                             2
MAQDIA                                             1
HEATHER RACZ                                       1
VIGINIE                                            1
R T BABOOLAL                                       1
CHIRNMAY                                           1
RAGHDAR                                            1
MESBAHUL                                           1
TRUELS                                             1
NOVICA                                             2
BRANDENE                                           1
MME FERNAND                                        1
REV LEE & MARGARET                                 1
NIR                                                5
SUELI                                              1
FRANCISC                                           1
MATHEA                                             1
JANE BLACK                                         1
ANYI`S                                             1
NICOLE OR NOLAN                                    1
RENEUD'PIER                                        1
CLAY & ALEXANDRA                                   1
VELODROME                                          1
MARK AND DEBORAH                                   1
MADELLINE                                          1
PETER R                                            4
S M                                                9
MAIR                                               4
KULWHINDER                                         1
CECILE M                                           2
CLAUDENE                                           1
SAMARAH                                            1
KELITA                                             1
MARGUERITE P MOONEY                                1
GAYLEEM                                            1
ERIC POMMAINVILLE                                  1
ED PETERS                                          1
JACLYNE                                            5
ROZLYN                                             1
JO-ANNE                                            152
CLIFFORD E                                         1
MECANIK  SJP                                       1
ELGEN H                                            1
WINSTON AND SADIE                                  1
GERALDINE R TEPPER                                 1
SORAYDA                                            1
HOSSEI                                             1
THERAN                                             1
FERRIE                                             1
ORRY                                               3
TEDDIE                                             2
PIERRE J                                           2
RENNER                                             1
ALEITA                                             1
TAMILYN                                            3
PHYLOMENE                                          1
RONALD J MOLSON                                    1
ALISON LACY                                        1
dave strickland                                    1
SARAHI                                             1
RUBILA                                             1
DUBLIN                                             1
ALBERY                                             1
MR.W                                               1
ROBAR                                              1
G LINDSAY                                          1
JEREMY OR CAM                                      1
RENSHEN                                            1
MORLAND                                            1
CHAK                                               2
ALPNA                                              1
Wesockes                                           1
TZIGANE                                            1
FRANK EARNSCLIFFE                                  1
CÉCILE                                             16
CANDIS                                             26
H D                                                6
ROSLANE                                            1
DEE DEE                                            9
JEFF/LIZ                                           1
VACLAV                                             5
CLYDE W                                            1
MICHAEL J CASEY                                    1
CARTNEY                                            1
KARAMVEER                                          1
ANNA-LEE                                           3
FREDRIC                                            12
MRS  GARY                                          1
DENICE C                                           1
MR. MIRA                                           1
CELESTE or DIANE                                   1
BOYD CORNWALL                                      1
DAVID & PAM SOUTHPORT                              1
A BAKASHI                                          1
MS MARCIE                                          1
DR. TREVA                                          1
JACYNTH                                            1
DELS                                               1
P & M                                              2
CARMALITA                                          3
SHEAN                                              3
MAXENCE                                            1
LOCAL SER VICE DISTRICT OF ASPEN COVE              1
LAMERT                                             1
JOHN LEWIS                                         1
GHAD                                               1
BREEDERS                                           1
HONGMEI                                            1
MAROUNE                                            1
FRANK S                                            2
BOZENKA                                            1
NAWAZ                                              4
SIAZ                                               1
VALMONDE                                           2
WILLEM J                                           1
MURIEL 10A                                         1
QUANZU                                             2
SARDUL                                             3
JOHN & TAMMY                                       1
JROVER                                             1
MERITT                                             1
LEURAUNT                                           1
EDWAN                                              2
MRS RYAN                                           2
LURA                                               3
CORA LEA                                           2
GRANDOLH                                           1
LOLANTA                                            1
LYNNTINA                                           1
XIAOHUAN                                           1
DR. SUSAN E                                        1
SHANTEL                                            28
GRANT G                                            2
E T MICHAEL                                        1
DAURIE                                             1
DECOA                                              1
Trajan                                             1
KESTER                                             1
Karey-Lynne & Pat                                  1
ROBIN TAYLOR                                       2
MRS. VIVIEN                                        1
GUS SPILLAS                                        1
ERLMA                                              1
MR. / MRS W                                        1
EARL S HEIBER                                      1
MRS ISABEL                                         5
MS. CYNDI                                          1
ANATOLIY                                           5
AMANDA LAWSON                                      1
SRECKO                                             2
AUBREY M LASKY                                     1
BERTA BACIC                                        1
MRS STEWART                                        1
BBRIGITTE                                          1
MOHAMMID                                           2
DRUSELLA                                           1
J BUNTING                                          1
S E STAFFORD                                       1
ABEDLLAH                                           1
RUTHARD                                            1
HALEY                                              109
ALEERIC                                            1
CHUHAR                                             1
ELMER L                                            1
MME. GERARD                                        3
JEAN  LUC                                          1
DAUGHN                                             1
VICTOR SPEAR                                       1
WONBAE                                             1
FIREWEINI                                          1
CHARNVAR                                           1
ORSON                                              4
ATPUTHA                                            1
MARYANA                                            3
FOZEY                                              1
INNES DAVIS                                        1
MONICA/BONNIE                                      1
DUGGINS                                            1
LUELL                                              1
NEDZAD                                             2
DEANDRA                                            8
SADAM                                              1
SACHELLE                                           2
G.L. ALWARD ENTERPRISES                            1
MORGEN                                             3
CANSECO                                            1
DESAWAN                                            1
LIEVRE                                             1
VICA                                               1
DWINELL                                            2
DEVKINANDAN                                        1
TODD HICKS                                         1
MR. ET MME. GUY                                    2
DR. TED                                            2
CATHERINE VENTRESCA                                1
R D TAYLOR                                         1
WILLIAM DALE                                       1
DAVE AND PHYLIS                                    1
GORDONAND MAURA                                    1
BERTRUM , DIANNE                                   1
DUMITRU                                            5
SHELLAGH                                           1
ILRYE                                              1
MR BEN                                             1
DR CHARLES                                         1
SOBERING                                           1
MICHAEL SORG                                       1
MAHARI                                             2
SHELIA                                             92
MARK L                                             3
ISADOR                                             4
ARMENIE                                            1
BARRY/GRANT                                        1
ROGERINE                                           1
YEUN                                               1
SIDNEY C                                           2
JETSKE                                             1
SANDRA SANDLER                                     1
GARTH B ALLAN                                      1
MALODY                                             1
KATIUSKA                                           2
PAUL - EMILE                                       1
SAUL                                               34
TABIAS(PARTNER)                                    1
RAJIT                                              5
ASIAH                                              1
CARL A                                             4
BRIEN EVERETT                                      1
EMERIC                                             5
P POTTER                                           1
STEFAN GUTTENSOHN                                  1
MENETTA                                            1
HASIM                                              1
Joraver                                            1
HINSON                                             3
MRS.LEO                                            1
DORIS AND HAROLD                                   1
DR. WAYNE                                          3
DORIN                                              7
COREY RUBINOFF                                     2
LEESEE                                             1
ZHOU                                               7
MRS.VERA                                           1
TURNERS ONE STOP ( BARB)                           1
SIVERT                                             1
PARIQ                                              1
MELLITINA                                          1
KASTASOS                                           1
REV.ALBERT                                         1
BONG-JOO                                           1
LIEU TRAN                                          1
NUTHAILA                                           1
Paivinen                                           1
ERKKA                                              1
MATCHETT                                           1
DAGMAWIT                                           1
CHEVES                                             1
OSAM                                               1
T & Y                                              1
HARBY                                              4
MRS  JOSEPH                                        1
JUDY BAILEY                                        1
KEN & DONNA                                        4
amound                                             1
WAYNE HACQUOIL                                     1
MS. CARMAN                                         1
O A SOBOWALE                                       1
F ZANETTI                                          1
NADIA MARIA BELSKY                                 1
ARACELY                                            1
RICHARD T W                                        1
Loveman                                            1
HAGEN                                              4
HALEEM                                             2
JOCELIN                                            3
RICHARD/ GLORIA                                    1
JASON J                                            1
MARIA L                                            1
RANDY S                                            1
MRS.PAULA                                          1
GREEN VALLEY WELNESS                               1
EARN                                               1
SKY-CE                                             1
MUJTABA                                            2
THIESSEN                                           1
ALBERT W.                                          1
MME JEAN                                           4
MANDI                                              37
ERRIN                                              9
CHAI-GUL                                           1
HELMER                                             7
ROBERT PLEASANTDALE                                1
GORDON MATTHEWS                                    1
BELIVARIO                                          1
MR VADEN                                           1
MARIA MARSZAL                                      1
SYLES                                              1
IRWIND                                             1
LAURIE & RENE                                      1
HANKIE                                             1
THECLA                                             7
DOLRES                                             2
ED JR.                                             1
VANGEL                                             1
X HON.MAYOR                                        1
JORGEN                                             23
MARVIN W                                           2
NINDI                                              2
CORENIA                                            1
RICHARD & NANCY                                    1
N J MORROW                                         1
PURBA                                              1
EVELYN/RON                                         1
ARTHENA                                            5
VAUGHNE                                            3
REZAUL                                             1
KEMING                                             1
MOHAMED ASIF                                       1
MS CHADINE                                         1
KARIMAH                                            1
SAFIATU                                            2
MARK SHUREN                                        1
ERMIAS                                             1
SHIAO                                              1
THELMA SOURIS                                      1
MRS. ALBERT                                        3
VICTOR R                                           1
SHANON                                             34
TECHWARE                                           1
LORRAINE                                           2
OLIVA                                              11
GASHA                                              2
Nalbert                                            1
SHWETHA                                            1
MATT JAN LAKE                                      1
OBE                                                2
ROGER M                                            1
B L DI PAOLO                                       1
JOHN MCGOWAN                                       1
JOHN J ABDO                                        1
TRACY/ LORENZO                                     1
ROBIN & RAY                                        1
mr lisa                                            1
AL ARCHIBALD & SONS TRUCKING                       1
JACQUELINE A HORVAT                                1
I B NADLER                                         1
PORFIRIO                                           1
REBECCA NEUFELO                                    1
G D'ORIO                                           1
URDOCH                                             1
Alishan                                            2
REG & JOANNE                                       1
MARY-JEAN                                          10
GERALD B                                           3
DR GUYLAINE                                        1
AMBERLY                                            6
BOHDAN                                             26
TAMMY POPLAR                                       1
MICKEY MT STEWART                                  1
SUZANNE M                                          1
J M PETER                                          1
MS. JUDY                                           1
DARLEAN                                            3
GRIZELDA                                           1
BOO                                                3
Govert                                             1
CRESENTIANO                                        1
OLAIDE                                             1
MIRA GASIOROWSKA                                   1
Jaffia                                             1
MR.  CHRISTIAN                                     1
JAMES & JOANIE                                     1
INAYA                                              3
JEAN-.PAUL (JP)                                    1
CURTIS L                                           1
I L                                                2
NEWSPAPERS                                         1
RAEMA                                              2
sap                                                2
JAMELLA                                            1
ATHRA                                              1
HSOE                                               1
PUL                                                1
LUKETA                                             1
RUELLEN                                            1
CHRISTAIN                                          1
MR. AND MRS. STEVE                                 1
JOANN BACON                                        2
NEKIE                                              1
HELLMANN                                           1
CHADLEY                                            1
YEE TONG                                           1
DONALD M                                           5
HARWA                                              1
EMMA BLANCHARD                                     1
DAVID ALEXANDER                                    1
MESTA                                              1
RICHELIEU                                          2
MICHAEL & VERNA                                    1
MME ANDORA                                         1
LAUNI                                              3
MARCEL BRUNET                                      1
MELEM                                              2
ELIZ                                               3
KEXU                                               2
ELEANOR & PETER                                    1
KAY E                                              1
NENA                                               13
MAHDI                                              8
TELETHA                                            2
PETER & JUDY                                       1
N & C                                              1
RAJI                                               4
HAILONG                                            1
RASINDER                                           1
KENRA                                              1
